a52dec 0.7.4-10
fluidsynth 2.1.0-1
font-mathematica 9.0-6
font-victor-mono 1.3.1-1
fontconfig 2:2.13.91+24+g75eadca-2
fontforge 20190801-2
fplll 5.3.2-1
freerdp 1:2.0.0_rc4-8
freetype2 2.10.1-1
fribidi 1.0.8-1
fuse-common 3.9.0-1
fuse2 2.9.9-3
fuse3 3.9.0-1
fzf 0.20.0-1
gap 4.10.2-11
garcon 0.6.4-1
gawk 5.0.1-2
gc 8.0.4-3
gcab 1.4-1
gcc 9.2.0-4
gcc-libs 9.2.0-4
gcc8 8.3.0-4
gcc8-libs 8.3.0-4
gconf 3.2.6+11+g07808097-6
gcr 3.34.0-1
gd 2.2.5-2
gdb 8.3.1-4
gdb-common 8.3.1-4
gdbm 1.18.1-3
gdk-pixbuf2 2.40.0-1
gdm 3.34.1-1
gedit 3.34.1-1
gendesk 1.0.5-1
geoclue 2.5.5+6+gea52170-1
geocode-glib 3.26.1-1
geoip 1.6.12-1
geoip-database 20180403-1
gettext 0.20.1-3
gf2x 1.3.0-1
gfan 0.6.2-1
gflags 2.2.2-1
ghc 8.6.5-1
ghc-libs 8.6.5-1
ghostscript 9.50-2
giflib 5.2.1-1
girara 0.3.4-1
git 2.25.0-1
git-extras 5.0.0-1
givaro 4.1.1-1
gjs 2:1.58.4-1
gl2ps 1.4.0-1
glade 3.22.1-4
glib-networking 2.62.3-1
glib2 2.62.4-1
glib2-docs 2.62.4-1
glibc 2.30-3
glibmm 2.62.0-1
global 6.6.4-1
glpk 4.65-2
glslang 8.13.3559-1
glu 9.0.1-1
glusterfs 1:7.2-1
gmp 6.1.2-3
gmp-ecm 7.0.4-2
gn 0.1634.ad9e442d-1
gnome-autoar 0.2.4-1
gnome-bluetooth 3.34.0+1+g96295afd-1
gnome-boxes 3.34.3-1
gnome-builder-git 3.34.0+50+gc192cce11-1
gnome-common 3.18.0-3
gnome-desktop 1:3.34.2-1
gnome-keyring 1:3.34.0-2
gnome-online-accounts 3.34.1-1
gnome-session 3.34.2-1
gnome-settings-daemon 3.34.2-1
gnome-shell 1:3.34.3-1
gnome-shell-pomodoro 0.16.0-1
gnome-themes-extra 3.28-1
gnome-tweaks 3.34.0-2
gnu-free-fonts 20120503-7
gnu-netcat 0.7.1-7
gnupg 2.2.19-1
gnustep-base 1.26.0-3
gnutls 3.6.12-1
go 2:1.13.7-1
go-langserver-git v2.0.0.r60.g1afa9c0-1
gobject-introspection 1.62.0-3
gobject-introspection-runtime 1.62.0-3
goland 2019.3.1-1
gom 0.3.3-4
google-glog 0.4.0-1
gparted 1.1.0-1
gperf 3.1-2
gpgme 1.13.1-3
gpm 1.20.7.r27.g1fd1941-2
gptfdisk 1.0.4-1
granite 5.3.0-1
graphene 1.10.0-1
graphicsmagick 1.3.34-1
graphite 1:1.3.13-2
graphviz 2.42.3-2
grep 3.4-1
grim 1.3.0-1
groff 1.22.4-3
grub 2:2.04-5
gsettings-desktop-schemas 3.34.0-1
gsfonts 20180524-2
gsl 2.6-1
gsm 1.0.18-1
gspell 1.8.3-1
gst-plugins-base 1.16.2-1
gst-plugins-base-libs 1.16.2-1
gst-python 1.16.2-1
gstreamer 1.16.2-1
gtk-doc 1.32-2
gtk-theme-elementary 5.4.1-1
gtk-update-icon-cache 1:3.24.13-1
gtk-vnc 1.0.0-1
gtk2 2.24.32-1
gtk3 1:3.24.13-1
gtkmm 1:2.24.5-3
gtkmm3 3.24.2-1
gtksourceview4 4.4.0-1
gts 0.7.6.121130-1
guile 2.2.6-1
guile2.0 2.0.14-3
gupnp-dlna 0.10.5+4+gc947eed-1
gvfs 1.42.2-1
gvim 8.2.0148-1
gzip 1.10-3
harfbuzz 2.6.4-2
harfbuzz-icu 2.6.4-2
haskell-aeson 1.4.6.0-8
haskell-annotated-wl-pprint 0.7.0-13
haskell-ansi-terminal 0.10.2-1
haskell-ansi-wl-pprint 0.6.9-14
haskell-asn1-encoding 0.9.6-7
haskell-asn1-parse 0.9.5-7
haskell-asn1-types 0.3.3-17
haskell-async 2.2.2-1
haskell-attoparsec 0.13.2.3-8
haskell-attoparsec-iso8601 1.0.1.0-42
haskell-auto-update 0.1.6-20
haskell-base-compat 0.11.0-1
haskell-base-orphans 0.8.1-27
haskell-base-prelude 1.3-6
haskell-base16-bytestring 0.1.1.6-14
haskell-base64-bytestring 1.0.0.2-22
haskell-basement 0.0.11-1
haskell-bifunctors 5.5.6-7
haskell-bindings-uname 0.1-11
haskell-bitarray 0.0.1.1-12
haskell-blaze-builder 0.4.1.0-8
haskell-blaze-html 0.9.1.2-8
haskell-blaze-markup 0.8.2.3-7
haskell-boxes 0.1.5-26
haskell-byteable 0.1.1-14
haskell-case-insensitive 1.2.1.0-1
haskell-cereal 0.5.8.1-1
haskell-clock 0.8-1
haskell-cmdargs 0.10.20-8
haskell-colour 2.3.5-18
haskell-comonad 5.0.6-6
haskell-conduit 1.3.1.2-9
haskell-conduit-extra 1.3.4-35
haskell-connection 0.3.1-9
haskell-constraints 0.11.2-6
haskell-contravariant 1.5.2-1
haskell-cookie 0.4.5-1
haskell-cpphs 1.20.8-15
haskell-cryptohash-sha256 0.11.101.0-9
haskell-cryptonite 0.26-20
haskell-cryptonite-conduit 0.2.2-219
haskell-data-default-class 0.1.2.0-13
haskell-data-hash 0.2.0.1-13
haskell-digest 0.0.1.2-14
haskell-distributive 0.6.1-6
haskell-dlist 0.8.0.7-8
haskell-easy-file 0.2.2-8
haskell-echo 0.1.3-11
haskell-ed25519 0.0.5.0-13
haskell-edisonapi 1.3.1-13
haskell-edisoncore 1.3.2.1-29
haskell-edit-distance 0.2.2.1-14
haskell-either 5.0.1.1-34
haskell-enclosed-exceptions 1.0.3-41
haskell-equivalence 0.3.5-7
haskell-erf 2.0.0.0-13
haskell-exceptions 0.10.4-3
haskell-extra 1.6.18-8
haskell-fast-logger 3.0.0-9
haskell-file-embed 0.0.11.1-1
haskell-filelock 0.1.1.4-1
haskell-fsnotify 0.3.0.1-67
haskell-generic-deriving 1.12.4-22
haskell-geniplate-mirror 0.7.6-9
haskell-githash 0.1.3.3-17
haskell-gitrev 1.3.1-15
haskell-glob 0.10.0-26
haskell-hackage-security 0.5.3.0-67
haskell-hashable 1.2.7.0-8
haskell-hashtables 1.2.3.4-9
haskell-hi-file-parser 0.1.0.0-11
haskell-hinotify 0.4-7
haskell-hourglass 0.2.12-36
haskell-hpack 0.33.0-30
haskell-http-api-data 0.4.1.1-8
haskell-http-client 0.6.4-36
haskell-http-client-tls 0.3.5.3-151
haskell-http-conduit 2.3.7.3-33
haskell-http-download 0.1.0.1-8
haskell-http-types 0.12.3-34
haskell-ieee754 0.8.0-12
haskell-infer-license 0.2.0-39
haskell-integer-logarithms 1.0.3-2
haskell-libyaml 0.1.1.1-15
haskell-lifted-async 0.10.0.4-30
haskell-lifted-base 0.2.3.12-54
haskell-megaparsec 7.0.5-5
haskell-memory 0.14.18-39
haskell-microlens 0.4.11.2-1
haskell-microlens-th 0.4.3.2-2
haskell-mime-types 0.1.0.9-3
haskell-mintty 0.1.2-7
haskell-monad-control 1.0.2.3-54
haskell-monad-logger 0.3.31-21
haskell-monad-loops 0.4.3-14
haskell-mono-traversable 1.0.15.1-4
haskell-murmur-hash 0.1.0.9-12
haskell-mustache 2.3.0-267
haskell-neat-interpolation 0.3.2.5-1
haskell-network 2.8.0.1-4
haskell-network-uri 2.6.1.0-18
haskell-old-locale 1.0.0.7-19
haskell-old-time 1.1.0.3-19
haskell-only 0.1-11
haskell-open-browser 0.2.1.0-14
haskell-optparse-applicative 0.15.1.0-5
haskell-optparse-generic 1.3.0-9
haskell-optparse-simple 0.1.1.2-94
haskell-pantry 0.1.1.1-93
haskell-parser-combinators 1.2.1-1
haskell-path 0.6.1-125
haskell-path-io 1.4.2-48
haskell-path-pieces 0.2.1-19
haskell-pem 0.2.4-65
haskell-persistent 2.10.4-24
