a52dec 0.7.4-10
libx11 1.6.9-6
libxau 1.0.9-2
libxaw 1.0.13-2
libxcb 1.13.1-1
libxcomposite 0.4.5-2
libxcursor 1.2.0-1
libxdamage 1.1.5-2
libxdg-basedir 1.2.0-4
libxdmcp 1.1.3-2
libxext 1.3.4-2
libxfce4ui 4.14.1-2
libxfce4util 4.14.0-1
libxfixes 5.0.3-3
libxfont2 2.0.4-2
libxft 2.3.3-1
libxi 1.7.10-2
libxinerama 1.1.4-2
libxkbcommon 0.10.0-1
libxkbcommon-x11 0.10.0-1
libxkbfile 1.1.0-1
libxklavier 5.4-2
libxml2 2.9.10-1
libxmu 1.1.3-1
libxnvctrl 440.59-1
libxp 1.0.3-3
libxpm 3.5.13-1
libxrandr 1.5.2-2
libxrender 0.9.10-3
libxshmfence 1.3-1
libxslt 1.1.34-2
libxss 1.2.3-2
libxt 1.2.0-1
libxtst 1.2.3-3
libxv 1.0.11-3
libxxf86vm 1.1.4-3
libyaml 0.2.2-1
libytnef 1.9.3+7+g24fe30e-1
libzip 1.5.2-2
libzmf 0.0.2-7
licenses 20191011-2
linbox 1.6.3-1
linux 5.5.2.arch1-1
linux-api-headers 5.3.1-2
linux-docs 5.5.2.arch1-1
linux-firmware 20200122.1eb2408-1
linux-headers 5.5.2.arch1-1
linux-lts 4.19.101-1
linux-lts-docs 4.19.101-1
linux-lts-headers 4.19.101-1
linux-zen 5.5.2.zen1-1
linux-zen-docs 5.5.2.zen1-1
linux-zen-headers 5.5.2.zen1-1
lld 9.0.1-1
llvm 9.0.1-1
llvm-libs 9.0.1-1
lm_sensors 3.6.0-1
lmdb 0.9.24-1
logrotate 3.15.1-2
lpsolve 5.5.2.5-3
lrcalc 1.2-3
lsb-release 1.4-15
lshw B.02.18-3
lsof 4.93.2-1
lua 5.3.5-2
lua52 5.2.4-4
lua52-bitop 1.0.2-8
lua52-expat 1.3.0-4
lua52-lpeg 1.0.2-1
lua52-luajson 1.3.4-2
lua52-socket 20190219-1
luajit 2.0.5-2
lvm2 2.02.186-5
lxappearance 0.6.3-2
lz4 1:1.9.2-2
lzo 2.10-3
m17n-db 1.8.0-2
m17n-lib 1.8.0-6
m4 1.4.18-3
m4ri 20200125-1
m4rie 20200125-1
magma 2.5.2-3
mailcap 2.1.48+14+g5811758-1
mailspring 1.7.2-1
make 4.3-1
mallard-ducktype 1.0.2-3
man-db 2.9.0-1
mathjax2 2.7.7-1
maven 3.6.3-1
maxima-ecl 5.43.2-1
mbedtls 2.16.3-1
md4c 0.4.2-1
mdadm 4.1-2
media-player-info 24-1
mesa 19.3.3-1
meson 0.53.1-1
metis 5.1.0.p7-1
minio-client 2019.12.17-1
minizip 1:1.2.11-4
mkinitcpio 27-2
mkinitcpio-busybox 1.31.1-1
mlocate 0.26.git.20170220-2
mobile-broadband-provider-info 20190618-1
mongodb-bin 4.2.2-1
mongodb-compass-community-beta 1.20.0beta.9-2
mongodb-tools-bin 4.2.2-1
mpd 0.21.19-1
mpfi 1.5.4-2
mpfr 4.0.2-2
mpg123 1.25.13-1
msgpack-c 3.2.1-1
mtdev 1.1.6-1
mtools 4.0.23-1
mutter 3.34.3+30+g4959ae8bc-1
nano 4.7-1
nautilus 3.34.2-1
nautilus-image-converter 0.3.0+31+g23441ed-2
nautilus-sendto 3.8.6+14+ge8a3604-1
nautilus-share 0.7.3-8
nauty 26r12-1
nccl 2.5.7-3
ncdu 1.14.1-1
ncurses 6.1-7
ncurses5-compat-libs 6.1-1
ndctl 67-1
neofetch 6.1.0-1
neon 0.30.2-3
neovim 0.4.3-1
neovim-qt 0.2.15-1
nerd-fonts-iosevka 2.0.0-2
net-tools 1.60.20181103git-2
netcdf 4.7.3-1
netcf 0.2.8-7
netctl 1.20-2
netpbm 10.73.30-1
nettle 3.5.1-2
networkmanager 1.22.6-1
ngrep 1.47-1
nim 1.0.4-1
nimble 1:0.11.0-1
ninja 1.10.0-1
nitrogen 1.6.1-2
nm-connection-editor 1.8.24-1
node-gyp 6.1.0-1
nodejs 13.7.0-1
noto-fonts 20190926-4
noto-fonts-cjk 20190409-1
npm 6.13.6-1
npth 1.6-2
nspr 4.25-1
nss 3.49.2-3
ntl 11.4.3-1
ntp 4.2.8.p13-2
numactl 2.0.13-2
nvidia-container-runtime 3.1.4-1
nvidia-container-toolkit 1.0.5-3
nvidia-dkms 440.59-3
nvidia-docker 2.2.2-1
nvidia-settings 440.59-1
nvidia-utils 440.59-1
oath-toolkit 2.6.2-7
obinskit 1.1.1-1
octave 5.2.0-1
oniguruma 6.9.4-1
openal 1.20.1-2
openblas 0.3.7-1
opencl-mesa 19.3.3-1
opencl-nvidia 440.59-1
opencore-amr 0.1.5-3
opencv 4.2.0-1
opendesktop-fonts 1.4.2-5
openexr 2.4.0-7
openjade 1.3.2-5
openjpeg2 2.3.1-1
openlibm 0.7.0-1
openmp 9.0.1-1
openmpi 4.0.2-3
openresolv 3.10.0-1
opensp 1.5.2-8
openssh 8.1p1-2
openssl 1.1.1.d-2
openssl-1.0 1.0.2.u-1
opera-ffmpeg-codecs 79.0.3945.130-1
optipng 0.7.7-1
opus 1.3.1-1
orc 0.4.31-1
os-prober 1.77-1
osinfo-db 20191125-1
ostree 2019.6-1
otf-fira-code 2-1
otf-hasklig 1.1-1
otf-literata 1.00-3
p11-kit 0.23.20-2
p7zip 16.02-5
pacman 5.2.1-4
pacman-contrib 1.3.0-1
pacman-mirrorlist 20200207-1
palp 2.1-2
pam 1.3.1-2
pambase 20190105.1-2
pango 1:1.44.7-1
pangomm 2.42.0-1
pari 2.11.2-1
pari-galdata 20080411-2
pari-seadata-small 20090618-2
parted 3.3-1
patch 2.7.6-8
pavucontrol-qt 0.14.1-1
pciutils 3.6.2-2
pcre 8.43-2
pcre2 10.34-3
pcsclite 1.8.26-1
perl 5.30.1-1
perl-encode-locale 1.05-5
perl-error 0.17029-1
perl-file-listing 6.04-6
perl-html-parser 3.72-8
perl-html-tagset 3.20-8
perl-http-cookies 6.08-1
perl-http-daemon 6.01-7
perl-http-date 6.05-1
perl-http-message 6.18-3
perl-http-negotiate 6.01-6
perl-io-html 1.001-5
perl-libwww 6.43-1
perl-lwp-mediatypes 6.02-6
perl-mailtools 2.21-2
perl-net-http 6.19-2
perl-parse-yapp 1.21-2
perl-sgmls 1:1.1-6
perl-timedate 2.31-1
perl-try-tiny 0.30-3
perl-uri 1.76-2
perl-www-robotrules 6.02-6
perl-xml-namespacesupport 1.12-3
perl-xml-parser 2.45-1
perl-xml-sax 1.02-1
perl-xml-sax-base 1.09-3
perl-xml-sax-expat 0.51-6
phodav 2.3-1
phonon-qt5 4.11.1-1
phonon-qt5-vlc 0.11.1-1
picom 7.5-2
pinentry 1.1.0-5
pipewire 0.2.7-1
pixman 0.38.4-1
pkgconf 1.6.3-3
planarity 3.0.0.5-2
pnpm 4.8.0-1
podman 1.7.0-1
podofo 0.9.6-2
polkit 0.116-3
polkit-qt5 0.113.0-1
polybar 3.4.2-1
poppler 0.85.0-1
poppler-glib 0.85.0-1
poppler-qt5 0.85.0-1
popt 1.16-12
portaudio 1:19.6.0-6
potrace 1.16-1
powertop 2.11-1
ppl 1.2-4
procps-ng 3.3.15-2
protobuf 3.11.3-1
psmisc 23.3-2
pulseaudio 13.0-3
pulseaudio-alsa 2-5
pulseaudio-bluetooth 13.0-3
pulseaudio-qt 1.2-1
purpose 5.66.0-1
pwgen 2.08-1
pybind11 2.4.3-3
pygobject-devel 3.34.0-3
pygtk 2.24.0-8
pynac 0.7.26-2
python 3.8.1-4
python-anytree 2.8.0-1
python-appdirs 1.4.3-5
python-asn1crypto 1.3.0-1
python-astor 0.8.1-1
python-astroid 2.3.3-1
python-attrs 19.3.0-3
python-babel 2.8.0-4
python-bcrypt 3.1.7-3
python-beaker 1.11.0-3
python-beautifulsoup4 4.8.2-1
python-bleach 3.1.0-3
python-blessings 1.7-4
python-cachecontrol 0.12.6-1
python-cached-property 1.5.1-4
python-cachetools 3.1.1-4
python-cairo 1.19.0-1
python-cffi 1.13.2-2
python-chardet 3.0.4-4
python-colorama 0.4.3-1
python-configobj 5.0.6-6
python-contextlib2 0.6.0-3
python-cryptography 2.8-1
python-cvxopt 1.2.4-1
python-cycler 0.10.0-5
python-cypari2 2.1.1-3
python-cysignals 1.10.2-5
python-dateutil 2.8.1-2
python-dbus 1.2.16-1
python-dbus-common 1.2.16-1
python-decorator 4.4.1-1
python-defusedxml 0.6.0-3
python-distlib 0.3.0-1
python-distro 1.4.0-3
python-docker 4.2.0-1
python-docker-pycreds 0.4.0-5
python-dockerpty 0.4.1-6
python-docopt 0.6.2-7
python-docutils 0.14-4
python-entrypoints 0.3-3
python-fpylll 0.5.1dev-2
python-future 0.18.2-2
python-gast02 0.2.2-1
python-gmpy2 2.1.0b3-1
python-gobject 3.34.0-3
python-google-auth 1.10.0-2
python-google-auth-oauthlib 0.4.1-1
python-grpcio 1.27.0-2
python-h5py 2.10.0-2
python-html2text 2019.8.11-3
python-html5lib 1.0.1-7
python-httplib2 0.15.0-1
python-idna 2.8-3
python-imagesize 1.2.0-1
python-importlib-metadata 1.4.0-1
python-ipykernel 5.1.3-2
python-ipywidgets 7.5.1-4
python-isort 4.3.21.2-3
python-jedi 0.15.1-2
python-jinja 2.11.1-1
python-joblib 0.14.1-1
python-json5 0.9.0-1
python-jsonrpc-server 0.3.4-1
python-jsonschema 3.2.0-1
python-jupyter_client 5.3.4-4
python-jupyter_core 4.6.1-1
python-keras-applications 1.0.8-3
python-keras-preprocessing 1.1.0-3
python-kiwisolver 1.1.0-3
python-language-server 0.31.7-1
python-lazy-object-proxy 1.4.3-1
python-lockfile 0.12.2-6
python-lxml 4.4.2-1
python-mako 1.1.1-1
python-markdown 3.1.1-4
python-markupsafe 1.1.1-3
python-matplotlib 3.1.3-1
python-mccabe 0.6.1-4
python-mistune 0.8.4-3
python-more-itertools 8.1.0-1
python-mpmath 1.1.0-3
python-msgpack 0.6.2-3
python-nautilus 1.2.3-3
python-networkx 2.4-3
python-numpy 1.18.1-1
python-nvidia-ml-py3-git r5.2b04f5d-1
python-oauthlib 3.1.0-3
python-opt_einsum 3.1.0-1
python-ordered-set 3.1.1-1
python-packaging 20.0-1
python-pandas 1.0.1-1
python-pandocfilters 1.4.2-4
python-paramiko 2.7.1-1
python-parso 0.6.1-1
python-pep517 0.6.0-3
python-pexpect 4.8.0-1
python-pickleshare 0.7.5-3
python-pillow 6.2.1-1
python-pip 19.3-1
python-pluggy 0.13.1-1
python-ply 3.11-4
python-pplpy 0.8.4-5
python-progress 1.5-3
python-prometheus_client 0.7.1-3
python-prompt_toolkit 3.0.3-1
python-protobuf 3.11.3-1
python-psutil 5.6.7-1
python-ptyprocess 0.6.0-4
python-pyasn1 0.4.8-1
python-pyasn1-modules 0.2.8-1
python-pycodestyle 2.5.0-3
python-pycparser 2.19-3
python-pycurl 7.43.0.5-1
python-pygments 2.5.2-1
python-pylint 2.4.4-1
python-pymongo 3.10.1-1
python-pymupdf 1.16.10-1
python-pynacl 1.3.0-3
python-pyparsing 2.4.6-1
python-pyqt5 5.14.1-2
python-pyqt5-sip 12.7.1-1
python-pyrsistent 0.15.7-1
python-pytoml 0.1.21-3
python-pytorch-cuda 1.4.0-4
python-pytz 2019.3-3
python-pywal 3.3.0-2
python-pyzmq 18.1.1-1
python-requests 2.22.0-3
python-requests-oauthlib 1.3.0-1
python-retrying 1.3.3-6
python-rpy2 3.2.6-1
python-rsa 4.0-4
python-scikit-learn 0.22.1-1
python-scipy 1.4.1-1
python-send2trash 1.5.0-4
python-setuptools 1:44.0.0-1
python-six 1.14.0-1
python-snowballstemmer 2.0.0-3
python-soupsieve 1.9.5-2
python-sphinx 2.2.1-2
python-sphinx-alabaster-theme 0.7.12-3
python-sphinx_rtd_theme 0.4.3-4
python-sphinxcontrib-applehelp 1.0.1-4
python-sphinxcontrib-devhelp 1.0.1-4
python-sphinxcontrib-htmlhelp 1.0.2-4
python-sphinxcontrib-jsmath 1.0.1-4
python-sphinxcontrib-qthelp 1.0.2-4
python-sphinxcontrib-serializinghtml 1.1.3-4
python-sympy 1.5.1-1
python-tensorflow 2.1.0-3
python-tensorflow-estimator 2.1.0-1
python-tensorflow-serving-api 2.0.0-1
python-termcolor 1.1.0-8
python-terminado 0.8.3-1
python-testpath 0.4.4-1
python-texttable 1.6.2-3
python-tornado 6.0.3-3
python-traitlets 4.3.3-3
python-typed-ast 1.4.0-3
python-tzlocal 2.0.0-3
python-ujson 1.35-6
python-urllib3 1.25.8-1
python-wcwidth 0.1.8-1
python-webencodings 0.5.1-4
python-websocket-client 0.57.0-1
python-werkzeug 0.16.1-1
python-wheel 0.34.2-1
python-wrapt 1.11.2-3
python-xmltodict 0.12.0-4
python-yaml 5.3-1
python-zipp 1.0.0-1
python2 2.7.17-1
python2-appdirs 1.4.3-5
python2-apsw 3.30.1-2
python2-babel 2.8.0-4
python2-backports 1.0-2
python2-backports-abc 0.5-2
python2-backports.functools_lru_cache 1.5-1
python2-backports.shutil_get_terminal_size 1.0.0-3
python2-beautifulsoup4 4.8.2-1
python2-cairo 1.18.2-4
python2-chardet 3.0.4-4
python2-css-parser 1.0.4-3
python2-cssselect 1.1.0-3
python2-cycler 0.10.0-5
python2-dateutil 2.8.1-2
python2-dbus 1.2.16-1
python2-decorator 4.4.1-1
python2-dnspython 1.16.0-3
python2-docutils 0.14-4
python2-enum34 1.1.6-2
python2-feedparser 5.2.1-5
python2-future 0.18.2-2
python2-futures 3.3.0-1
python2-gobject2 2.28.7-4
python2-html2text 2019.8.11-3
python2-html5-parser 0.4.9-2
python2-html5lib 1.0.1-7
python2-idna 2.8-3
python2-imagesize 1.2.0-1
python2-ipykernel 4.10.0-1
python2-jinja 2.11.1-1
python2-jupyter_client 5.3.4-4
python2-jupyter_core 4.6.1-1
python2-kiwisolver 1.1.0-3
python2-lxml 4.4.2-1
python2-markdown 3.1.1-4
python2-markupsafe 1.1.1-3
python2-matplotlib 2.2.4-2
python2-mechanize 1:0.4.5-1
python2-msgpack 0.6.2-3
python2-netifaces 0.10.9-3
python2-networkx 2.2-2
python2-numpy 1.16.4-2
python2-ordered-set 3.1.1-1
python2-packaging 20.0-1
python2-pathlib 1.0.1-4
python2-pexpect 4.8.0-1
python2-pickleshare 0.7.5-3
python2-pillow 6.2.1-1
python2-prompt_toolkit1 1.0.15-1
python2-psutil 5.6.7-1
python2-ptyprocess 0.6.0-4
python2-pychm 0.8.6-1
python2-pygments 2.5.2-1
python2-pyparsing 2.4.6-1
python2-pyqt5 5.14.1-2
python2-pyqtwebengine 5.14.0-3
python2-pytz 2019.3-3
python2-pyzmq 18.1.1-1
python2-regex 2020.1.8-1
python2-requests 2.22.0-3
python2-scipy 1.2.3-1
python2-setuptools 1:44.0.0-1
python2-singledispatch 3.4.0.3-3
python2-sip-pyqt5 4.19.21-1
python2-six 1.14.0-1
python2-snowballstemmer 2.0.0-3
python2-soupsieve 1.9.5-2
python2-sphinx 1.8.5-4
python2-sphinx-alabaster-theme 0.7.12-3
python2-sphinxcontrib-websupport 1.1.2-3
python2-subprocess32 3.5.3-1
python2-tornado 5.1.1-2
python2-traitlets 4.3.3-3
python2-typing 3.7.4.1-1
python2-unrardll 0.1.4-2
python2-urllib3 1.25.8-1
python2-wcwidth 0.1.8-1
python2-webencodings 0.5.1-4
qbittorrent 4.2.1-1
qca 2.2.1-4
qd 2.3.22-2
qemu 4.2.0-1
qhull 2019.1-3
qpdf 9.1.1-1
qrencode 4.0.2-1
qrupdate 1.1.2-3
qscintilla-qt5 2.11.4-1
qt5-base 5.14.1-1
qt5-declarative 5.14.1-1
qt5-graphicaleffects 5.14.1-1
qt5-location 5.14.1-1
qt5-mqtt 5.14.1-1
qt5-multimedia 5.14.1-1
qt5-quickcontrols 5.14.1-1
qt5-quickcontrols2 5.14.1-1
qt5-sensors 5.14.1-1
qt5-serialport 5.14.1-1
qt5-speech 5.14.1-1
qt5-svg 5.14.1-1
qt5-tools 5.14.1-1
qt5-webchannel 5.14.1-1
qt5-webengine 5.14.1-1
qt5-webkit 5.212.0alpha3-9
qt5-websockets 5.14.1-1
qt5-x11extras 5.14.1-1
qt5-xmlpatterns 5.14.1-1
quazip 0.8.1-2
r 3.6.2-1
ragel 6.10-2
ranger 1.9.2-2
rankwidth 0.8-1
rapidjson 1.1.0-4
raptor 2.0.15-12
rasqal 1:0.9.33-2
re2 20200101-1
readline 8.0.001-2
recode 3.7.6-1
redland 1:1.0.17-7
redshift-minimal 1.12-2
reflector 2019.10-2
reiserfsprogs 3.6.27-3
rest 0.8.1-1
restic 0.9.6-1
rhash 1.3.9-1
ripgrep 11.0.2-1
rofi 1.5.4-1
rpcbind 1.2.5-3
rpcsvc-proto 1.4-1
rpmextract 1.0-8
rstudio-desktop-bin 1.2.5001-1
rsync 3.1.3-3
rtkit 0.12-1
rtmpdump 1:2.4.r96.fa8646d-5
rubiks 20070912-3
ruby 2.7.0-1
ruby-bundler 2.1.4-1
rubygems 3.1.2-4
run-parts 4.8.6.1-2
runc 1.0.0rc10-1
rust-docs 1:1.41.0-1
rustup 1.21.1-3
rxvt-unicode 9.22-9
rxvt-unicode-terminfo 9.22-9
ryzenadj-git 0.5.2.r2.g82afad3-2
s-nail 14.9.17-1
sage-data-combinatorial_designs 20140630-3
sage-data-conway_polynomials 0.5-3
sage-data-elliptic_curves 0.8.1-1
sage-data-graphs 20161026-2
sage-data-polytopes_db 20170220-1
sagemath 9.0-7
sagemath-jupyter 9.0-7
samba 4.10.10-2
sbc 1.4-1
sd 0.6.5-1
sdl 1.2.15-13
sdl2 2.0.10-1
seabios 1.13.0-1
sed 4.8-1
semver 7.1.2-1
sgml-common 0.6.3-6
shaderc 2019.0-4
shadow 4.8.1-1
shards 0.9.0-2
shared-mime-info 1.15-2
signon-kwallet-extension 19.12.2-1
signon-plugin-oauth2 0.24-2
signon-ui 0.17+20171022-1
signond 8.60-1
singular 4.1.2.p2-6
skopeo 0.1.40-1
slack-desktop 4.3.2-3
slang 2.3.2-1
slirp4netns 0.4.3-1
slurp 1.2.0-1
smalltalk 3.2.91-7
smbclient 4.10.10-2
snappy 1.1.8-1
solid 5.66.0-1
sonnet 5.66.0-1
sound-theme-freedesktop 0.8-3
spandsp 0.0.6-2
speex 1.2.0-2
speexdsp 1.2.0-1
spice 0.14.2-1
spice-gtk 0.37-1
spirv-tools 2019.3-2
spotify 1:1.1.10.546-2
sqlite 3.31.1-1
sshfs 3.7.0-1
sslscan 1.10.2-7
stack 2.1.3-109
starship-bin 0.33.1-1
startup-notification 0.12-6
station 1.63.4-1
stow 2.3.1-2
sudo 1.8.31-1
suitesparse 5.6.0-1
sundials 5.1.0-1
sway 1:1.4-7
swaybg-git r95.a8f109a-1
swig3 3.0.12-3
sx 2.1.2-1
symmetrica 3.0.1-1
sympow 2.023.5-1
syntax-highlighting 5.66.0-1
sysfsutils 2.1.0-11
syslinux 6.04.pre2.r11.gbf6db5b4-3
syslog-ng 3.25.1-4
sysprof2-git 3.34.1.r8.gaf2251b-1
sysstat 12.3.1-1
systemd 244.2-1
systemd-libs 244.2-1
systemd-sysvcompat 244.2-1
t1lib 5.1.2-7
tachyon 0.98.9-7
taglib 1.11.1-3
talloc 2.3.1-1
tar 1.32-3
tcl 8.6.10-1
tdb 1.3.18-4
template-glib 3.34.0-1
tensorboard 2.1.0-2
tensorflow-cuda 2.1.0-3
tevent 1:0.9.39-4
texinfo 6.7-2
thin-provisioning-tools 0.8.5-3
threadweaver 5.66.0-1
three.js r113-1
tidy 5.7.16-1
tmux 3.0_a-1
totem-pl-parser 3.26.4-1
tracker 2.3.1+6+g4d3073954-1
tracker-miners 2.3.1+23+g139553959-1
tree 1.8.0-1
ts-node 8.6.2-1
tslib 1.21-1
ttf-bookerly 4.21.0.65-4
ttf-cascadia-code 1910.04-1
ttf-clear-sans 1.00-3
ttf-dejavu 2.37-2
ttf-liberation 2.00.5-2
ttf-monoid 0.61-4
ttf-montserrat 7.200-3
ttf-muli 2.0-2
ttf-opensans 1.101-1
ttf-roboto 2.138-1
twolame 0.4.0-2
typescript 3.7.5-1
tzdata 2019c-3
ucl 1.03-8
udisks2 2.8.4-1
uget 2.2.3-1
unarchiver 1.10.1-8
unibilium 2.0.0-2
unzip 6.0-13
upower 0.99.11-1
upx 3.96-1
usb_modeswitch 2.6.0-1
usbmuxd 1.1.0+66+g9af2b12-1
usbredir 0.8.0-1
usbutils 012-2
util-linux 2.35.1-1
v4l-utils 1.18.0-1
vala 0.46.5-1
variety 0.8.2-1
vde2 2.3.2-13
vi 1:070224-4
vid.stab 1.1-2
vim-runtime 8.2.0148-1
virglrenderer 0.8.0-1
virtualbox 6.1.2-1
virtualbox-host-dkms 6.1.2-1
visual-studio-code-insiders 1576733998-1
vlc 3.0.8-8
volume_key 0.3.12-2
vte-common 0.58.3-1
vte3 0.58.3-1
vulkan-icd-loader 1.2.132-1
watchman 4.9.0-3
wavpack 5.2.0-1
wayland 1.17.0-1
wayland-protocols 1.18-1
wd719x-firmware 1-5
webkit2gtk 2.26.3-1
webrtc-audio-processing 0.3.1-1
wget 1.20.3-2
which 2.21-5
whois 5.5.5-1
wildmidi 0.4.3-1
wireless_tools 30.pre9-3
wireshark-cli 3.2.1-1
wireshark-qt 3.2.1-1
wl-clipboard 1:2.0.0-1
wlroots 0.10.0-2
wmctrl 1.07-5
woff2 1.0.2-1
wpa_supplicant 2:2.9-5
wpebackend-fdo 1.4.0-2
wpscan 1:3.7.6-1
x264 3:0.159.r2991.1771b55-1
x265 3.2.1-1
xcb-proto 1.13-4
xcb-util 0.4.0-2
xcb-util-cursor 0.1.3-2
xcb-util-errors 1.0-3
xcb-util-image 0.4.0-2
xcb-util-keysyms 0.4.0-2
xcb-util-renderutil 0.3.9-2
xcb-util-wm 0.4.1-2
xcb-util-xrm 1.3-1
xclip 0.13-2
xdg-dbus-proxy 0.1.2-1
xdg-desktop-portal 1.6.0-1
xdg-desktop-portal-gtk 1.6.0-1
xdg-utils 1.1.3+18+g0547886-4
xerces-c 3.2.2-1
xf86-input-libinput 0.29.0-1
xf86-video-amdgpu 19.1.0-1
xf86-video-nouveau 1.0.16-1
xf86-video-vesa 2.4.0-2
xfce4-settings 4.14.2-1
xfconf 4.14.1-1
xfsprogs 5.4.0-1
xkeyboard-config 2.29-1
xmlsec 1.2.29-1
xmlto 0.0.28-3
xorg-bdftopcf 1.1-1
xorg-font-util 1.3.2-1
xorg-font-utils 7.6-5
xorg-fonts-encodings 1.0.5-1
xorg-mkfontscale 1.2.1-2
xorg-server 1.20.7-1
xorg-server-common 1.20.7-1
xorg-server-xwayland 1.20.7-1
xorg-setxkbmap 1.3.2-1
xorg-xauth 1.1-1
xorg-xev 1.2.3-1
xorg-xhost 1.0.8-1
xorg-xinit 1.4.1-1
xorg-xinput 1.6.3-1
xorg-xkbcomp 1.4.2+7+g29fda8e-1
xorg-xmodmap 1.0.10-1
xorg-xprop 1.2.4-1
xorg-xrandr 1.5.1-1
xorg-xrdb 1.2.0-1
xorg-xset 1.2.4-1
xorgproto 2019.2-2
xvidcore 1.3.7-1
xz 5.2.4-2
yajl 2.1.0-2
yarn 1.22.0-1
yasm 1.3.0-3
yay 9.4.4-1
yelp-tools 3.32.2-1
yelp-xsl 3.34.2-1
yubico-c 1.13-5
yubico-c-client 2.15-4
yubikey-personalization 1.20.0-1
zathura 0.4.5-1
zathura-djvu 0.2.9-1
zathura-pdf-mupdf 0.3.5-2
zbar 0.23-2
zeal 1:0.6.1-1
zenity 3.32.0+17+gfb0938f-1
zeromq 4.3.2-1
zip 3.0-8
zita-alsa-pcmi 0.3.2-2
zita-resampler 1.6.2-2
zlib 1:1.2.11-4
zn_poly 0.9.2-1
zsh 5.7.1-1
zsh-completions 0.31.0-1
zstd 1.4.4-1
zziplib 0.13.69-1
